heading;-;-;company_name;-;language;link;original_url;date_posted;date_ends;date_created;date_updated;address;municipality_name;postal_code;-;pageviews_all;-;applyclicks_all;-;-;-;-;-;-;-;-
Pohjolan  LVIturvan myyntiedustaja;;;Pohjolan LVI-turva / Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9798893;26.12.2018;30.12.2018;27.12.2018;31.12.2018;00750 HELSINKI;Helsinki;00750;;3;;0;;1 Muu;;
LVI-remonttimyyjä;;;Pohjolan LVI-turva / Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9798955;26.12.2018;30.12.2018;27.12.2018;31.12.2018;40500 JYVÄSKYLÄ;Jyväskylä;40500;;8;;0;;1 Muu;;
LVI-remonttimyyjä;;;Pohjolan LVI-turva / Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9798953;26.12.2018;30.12.2018;27.12.2018;31.12.2018;65350 VAASA;Vaasa;65350;;6;;1;;1 Muu;;
LVI-remonttimyyjä;;;Pohjolan LVI-turva / Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9798950;26.12.2018;30.12.2018;27.12.2018;31.12.2018;13430 HÄMEENLINNA;Hämeenlinna;13430;;7;;0;;1 Muu;;
LVI-remonttimyyjä;;;Pohjolan LVI-turva / Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9798947;26.12.2018;30.12.2018;27.12.2018;31.12.2018;90550 OULU;Oulu;90550;;9;;0;;1 Muu;;
LVI-remonttimyyjä;;;Pohjolan LVI-turva / Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9798949;26.12.2018;30.12.2018;27.12.2018;31.12.2018;53420 LAPPEENRANTA;Lappeenranta;53420;;10;;1;;1 Muu;;
LVI-remonttimyyjä;;;Pohjolan LVI-turva / Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9798946;26.12.2018;30.12.2018;27.12.2018;31.12.2018;15700 LAHTI;Lahti;15700;;3;;0;;1 Muu;;
LVI-remonttimyyjä;;;Pohjolan LVI-turva / Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9798942;26.12.2018;30.12.2018;27.12.2018;31.12.2018;33840 TAMPERE;Tampere;33840;;6;;0;;1 Muu;;
LVI-remonttimyyjä;;;Pohjolan LVI-turva / Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9798929;26.12.2018;30.12.2018;27.12.2018;31.12.2018;00750 HELSINKI;Helsinki;00750;;3;;0;;1 Muu;;
LVI-remonttimyyjä;;;Pohjolan LVI-turva / Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9798931;26.12.2018;30.12.2018;27.12.2018;31.12.2018;20250 TURKU;Turku;20250;;5;;0;;1 Muu;;
B2C-myyntineuvottelija;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, osa-aika mahdollisuus, yli 12 kuukautta, Vakituinen työ;finnish;;http://paikat.te-palvelut.fi/tpt/9798852;26.12.2018;30.12.2018;27.12.2018;31.12.2018;20100 TURKU;Turku;20100;;9;;0;;1 Muu;;
B2C-myyntineuvottelija;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, osa-aika mahdollisuus, yli 12 kuukautta, Vakituinen työ;finnish;;http://paikat.te-palvelut.fi/tpt/9798851;26.12.2018;30.12.2018;27.12.2018;31.12.2018;33200 TAMPERE;Tampere;33200;;11;;0;;1 Muu;;
B2C-myyntineuvottelija;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, osa-aika mahdollisuus, yli 12 kuukautta, Vakituinen työ;finnish;;http://paikat.te-palvelut.fi/tpt/9798849;26.12.2018;30.12.2018;27.12.2018;31.12.2018;15140 LAHTI;Lahti;15140;;16;;0;;1 Muu;;
B2C-myyntineuvottelija;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, osa-aika mahdollisuus, yli 12 kuukautta, Vakituinen työ;finnish;;http://paikat.te-palvelut.fi/tpt/9798846;26.12.2018;30.12.2018;27.12.2018;31.12.2018;13100 HÄMEENLINNA;Hämeenlinna;13100;;11;;0;;1 Muu;;
B2C-myyntineuvottelija;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, osa-aika mahdollisuus, yli 12 kuukautta, Vakituinen työ;finnish;;http://paikat.te-palvelut.fi/tpt/9798871;26.12.2018;30.12.2018;27.12.2018;31.12.2018;00380 HELSINKI;Helsinki;00380;;10;;0;;1 Muu;;
LVI-myyntipäällikkö;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, yli 12 kuukautta, sopimuksen mukaan;finnish;;http://paikat.te-palvelut.fi/tpt/9798956;26.12.2018;30.12.2018;27.12.2018;31.12.2018;70780 KUOPIO;Kuopio;70780;;10;;1;;1 Muu;;
